k = 0.4, filterd = 0.1, result = (0.092, 0.908, 0.9048), time = 0.4017353057861328s
k = 0.4, filterd = 0.2, result = (0.109, 0.891, 0.8894), time = 0.29720544815063477s
k = 0.5, filterd = 0.0, result = (0.1064, 0.8936, 0.8776), time = 0.42087793350219727s
k = 0.5, filterd = 0.1, result = (0.1091, 0.8909, 0.8758), time = 0.3919525146484375s
k = 0.5, filterd = 0.2, result = (0.118, 0.882, 0.8631), time = 0.2902233600616455s
k = 0.6, filterd = 0.0, result = (0.2412, 0.7588, 0.767), time = 0.33211255073547363s
k = 0.6, filterd = 0.1, result = (0.2433, 0.7567, 0.7607), time = 0.3044764995574951s
k = 0.6, filterd = 0.2, result = (0.2681, 0.7319, 0.7289), time = 0.20352554321289062s
k = 0.7, filterd = 0.0, result = (0.3795, 0.6205, 0.6355), time = 0.30718493461608887s
k = 0.7, filterd = 0.1, result = (0.3804, 0.6196, 0.6328), time = 0.27722859382629395s
k = 0.7, filterd = 0.2, result = (0.3767, 0.6233, 0.6138), time = 0.1874988079071045s
k = 0.8, filterd = 0.0, result = (0.4484, 0.5516, 0.5558), time = 0.30019593238830566s
k = 0.8, filterd = 0.1, result = (0.4502, 0.5498, 0.553), time = 0.27127671241760254s
k = 0.8, filterd = 0.2, result = (0.4507, 0.5493, 0.4887), time = 0.18350720405578613s
k = 0.9, filterd = 0.0, result = (0.4784, 0.5216, 0.4823), time = 0.2972095012664795s
k = 0.9, filterd = 0.1, result = (0.4764, 0.5236, 0.4769), time = 0.26727771759033203s
k = 0.9, filterd = 0.2, result = (0.4691, 0.5309, 0.4479), time = 0.18253636360168457s
